		sol$fluxes	cpd00109[c0]	cpd00109[e0]
		met_name	Cytochrome c oxidized[c0]	Cytochrome c oxidized[e0]
rxn10044_c0	cytochrome-c reductase (menaquinol 7: 3 protons)	0.142370537067129	-2	0
rxn13689_c0	cytochrome-c reductase (ubiquinol8: 4 protons translocated)	18.0956922806504	-2	0
rxn09527_c0	Cytochrome c oxidase subunit 1	9.11903140885875	4	0
