		sol$fluxes	cpd00239[c0]	cpd00239[e0]
		met_name	H2S[c0]	H2S[e0]
rxn00952_c0	O-acetyl-L-homoserine:hydrogen sulfide S-(3-amino-3-carboxypropyl)transferase	3.15544362088405e-29	-1	0
rxn05957_c0	O4-succinyl-L-homoserine:hydrogen sulfide S-(3-amino-3-carboxypropyl)transferase	-1000	-1	0
rxn14246_c0	L-homocysteine hydrogen-sulfide-lyase	-0.068173244743691	1	0
rxn08689_c0	h2s transport (periplasm)	-0.0131140698481648	-1	1
EX_cpd00239_e0	Exchange of H2S	-0.0131140698481648	0	-1
rxn05909_c0	L-serine hydro-lyase (adding hydrogen sulfide, L-cysteine-forming)	999.944940825104	-1	0
