		sol$fluxes	cpd00007[c0]	cpd00007[e0]
		met_name	O2[c0]	O2[e0]
rxn01923_c0	2-Methylpropanoyl-CoA:oxygen 2,3-oxidoreductase	0.393782850319904	-1	0
rxn02303_c0	Coproporphyrinogen:oxygen oxidoreductase(decarboxylating)	0.00179569279926178	-1	0
rxn05468_c0	TRANS-RXNAVI-26568.ce	9.51460995197792	1	-1
EX_cpd00007_e0	Exchange of O2	-9.51460995197792	0	-1
rxn09527_c0	Cytochrome c oxidase subunit 1	9.11903140885875	-1	0
