		sol$fluxes	cpd00007[c0]	cpd00007[e0]
		met_name	O2[c0]	O2[e0]
rxn01923_c0	2-Methylpropanoyl-CoA:oxygen 2,3-oxidoreductase	0.45540283466891	-1	0
rxn02303_c0	Coproporphyrinogen:oxygen oxidoreductase(decarboxylating)	0.00207668665690754	-1	0
rxn05468_c0	TRANS-RXNAVI-26568.ce	0.460594551311179	1	-1
EX_cpd00007_e0	Exchange of O2	-0.460594551311179	0	-1
rxn02304_c0	protoporphyrinogen-IX:oxygen oxidoreductase	0.00103834332845377	-3	0
