		sol$fluxes	cpd00011[c0]	cpd00668[c0]	cpd00020[c0]	cpd00067[c0]	cpd03049[c0]	cpd00056[c0]	cpd00003[c0]	cpd00023[c0]	cpd00004[c0]	cpd00024[c0]	cpd00053[c0]	cpd00005[c0]	cpd00006[c0]	cpd00001[c0]	cpd00009[c0]	cpd00002[c0]	cpd00013[c0]	cpd00638[c0]	cpd00012[c0]	cpd00018[c0]	cpd00019[c0]	cpd00135[c0]	cpd00182[c0]	cpd00010[c0]	cpd00022[c0]	cpd00130[c0]	cpd00032[c0]	cpd00260[c0]	cpd03187[c0]	cpd00199[c0]	cpd00026[c0]	cpd00144[c0]	cpd00027[c0]	cpd00082[c0]	cpd00137[c0]	cpd00050[c0]	cpd00220[c0]	cpd03189[c0]	cpd03450[c0]	cpd00482[c0]	cpd00061[c0]	cpd00054[c0]	cpd00359[c0]	cpd00065[c0]	cpd00036[c0]	cpd00076[c0]	cpd00089[c0]	cpd00079[c0]	cpd00911[c0]	cpd00014[c0]	cpd00523[c0]	cpd00100[c0]	cpd00008[c0]	cpd00080[c0]	cpd00239[c0]	cpd00722[c0]	cpd00029[c0]	cpd00084[c0]	cpd00033[c0]	cpd00125[c0]	cpd00087[c0]	cpd00387[c0]	cpd00091[c0]	cpd00092[c0]	cpd00103[c0]	cpd00094[c0]	cpd03593[c0]	cpd00095[c0]	cpd00157[c0]	cpd00448[c0]	cpd00101[c0]	cpd00859[c0]	cpd00290[c0]	cpd00102[c0]	cpd00106[c0]	cpd00120[c0]	cpd00650[c0]	cpd00123[c0]	cpd00481[c0]	cpd00347[c0]	cpd00331[c0]	cpd00064[c0]	cpd00146[c0]	cpd00274[c0]	cpd00306[c0]	cpd00154[c0]	cpd00259[c0]	cpd00284[c0]	cpd00171[c0]	cpd00128[c0]	cpd00475[c0]	cpd00200[c0]	cpd01882[c0]	cpd00201[c0]	cpd00449[c0]	cpd00213[c0]	cpd00860[c0]	cpd00932[c0]	cpd00216[c0]	cpd00417[c0]	cpd00224[c0]	cpd00588[c0]	cpd00236[c0]	cpd02857[c0]	cpd00349[c0]	cpd00086[c0]	cpd00242[c0]	cpd00519[c0]	cpd00246[c0]	cpd00226[c0]	cpd00269[c0]	cpd00413[c0]	cpd03672[c0]	cpd00277[c0]	cpd00207[c0]	cpd00509[c0]	cpd00305[c0]	cpd00793[c0]	cpd00311[c0]	cpd00334[c0]	cpd00428[c0]	cpd02016[c0]	cpd00133[c0]	cpd03471[c0]	cpd00218[c0]	cpd01217[c0]	cpd00309[c0]	cpd01197[c0]	cpd00360[c0]	cpd02089[c0]	cpd00379[c0]	cpd00405[c0]	cpd01800[c0]	cpd00412[c0]	cpd00693[c0]	cpd03571[c0]	cpd00438[c0]	cpd00802[c0]	cpd00078[c0]	cpd00453[c0]	cpd00863[c0]	cpd03279[c0]	cpd02135[c0]	cpd00646[c0]	cpd00268[c0]	cpd03456[c0]	cpd00508[c0]	cpd00760[c0]	cpd00807[c0]	cpd00930[c0]	cpd01078[c0]	cpd03389[c0]	cpd02132[c0]	cpd02645[c0]	cpd02799[c0]	cpd02597[c0]	cpd02693[c0]	cpd02605[c0]	cpd00498[c0]	cpd03393[c0]	cpd03397[c0]	cpd07403[c0]	cpd00480[c0]	cpd01793[c0]	cpd00658[c0]	cpd03451[c0]	cpd00009[e0]	cpd00023[e0]	cpd00027[e0]	cpd00030[e0]	cpd00030[c0]	cpd00034[e0]	cpd00034[c0]	cpd00039[e0]	cpd00039[c0]	cpd00041[e0]	cpd00041[c0]	cpd00051[e0]	cpd00051[c0]	cpd00053[e0]	cpd00064[e0]	cpd00073[e0]	cpd00073[c0]	cpd00098[e0]	cpd00098[c0]	cpd00105[e0]	cpd00105[c0]	cpd00107[e0]	cpd00107[c0]	cpd00108[e0]	cpd00108[c0]	cpd00119[e0]	cpd00119[c0]	cpd00129[e0]	cpd00129[c0]	cpd00149[e0]	cpd00149[c0]	cpd00154[e0]	cpd00156[e0]	cpd00156[c0]	cpd00161[e0]	cpd00161[c0]	cpd00179[e0]	cpd00179[c0]	cpd00209[e0]	cpd00209[c0]	cpd00210[e0]	cpd00210[c0]	cpd00224[e0]	cpd00244[e0]	cpd00244[c0]	cpd00305[e0]	cpd00322[e0]	cpd00322[c0]	cpd00540[e0]	cpd00540[c0]	cpd10516[e0]	cpd10516[c0]	cpd00130[e0]	cpd00971[e0]	cpd00971[c0]	cpd00060[e0]	cpd00060[c0]	cpd00104[e0]	cpd00104[c0]	cpd00220[e0]	cpd00084[e0]	cpd11415[c0]	cpd00070[c0]	cpd11464[c0]	cpd11465[c0]	cpd11466[c0]	cpd11467[c0]	cpd11468[c0]	cpd11469[c0]	cpd11470[c0]	cpd11471[c0]	cpd11472[c0]	cpd11473[c0]	cpd11474[c0]	cpd11475[c0]	cpd11476[c0]	cpd11477[c0]	cpd11481[c0]	cpd11485[c0]	cpd11479[c0]	cpd11486[c0]	cpd11482[c0]	cpd11487[c0]	cpd11478[c0]	cpd11488[c0]	cpd11480[c0]	cpd11489[c0]	cpd11483[c0]	cpd11490[c0]	cpd11484[c0]	cpd11491[c0]	cpd11492[c0]	cpd11493[c0]	cpd11494[c0]	cpd00029[e0]	cpd00067[e0]	cpd00058[c0]	cpd00058[e0]	cpd10515[e0]	cpd10515[c0]	cpd00082[e0]	cpd00106[e0]	cpd00121[e0]	cpd00121[c0]	cpd00205[e0]	cpd00205[c0]	cpd00208[e0]	cpd00208[c0]	cpd11574[e0]	cpd11574[c0]	cpd00075[e0]	cpd00075[c0]	cpd00036[e0]	cpd00751[e0]	cpd00751[c0]	cpd11421[c0]	cpd00081[c0]	cpd11420[c0]	cpd11628[c0]	cpd11728[c0]	cpd11734[c0]	cpd11854[c0]	cpd11910[c0]	cpd12255[c0]	cpd11911[c0]	cpd12060[c0]	cpd11922[c0]	cpd12229[c0]	cpd11923[c0]	cpd12336[c0]	cpd01029[c0]	cpd11985[c0]	cpd11986[c0]	cpd12225[c0]	cpd12005[c0]	cpd12543[c0]	cpd12848[c0]	cpd00504[c0]	cpd02465[c0]	cpd14940[c0]	cpd12458[c0]	cpd15373[c0]	cpd15366[c0]	cpd15374[c0]	cpd15368[c0]	cpd15375[c0]	cpd15369[c0]	cpd15377[c0]	cpd15371[c0]	cpd15376[c0]	cpd15370[c0]	cpd15416[c0]	cpd15415[c0]	cpd15294[c0]	cpd15277[c0]	cpd15239[c0]	cpd00035[e0]	cpd00035[c0]	cpd00132[e0]	cpd00132[c0]	cpd01015[e0]	cpd01015[c0]	cpd15351[c0]	cpd15569[c0]	cpd15570[c0]	cpd15571[c0]	cpd15568[c0]	cpd11825[c0]	cpd00072[c0]	cpd11917[c0]	cpd15249[c0]	cpd01399[e0]	cpd01399[c0]	cpd00254[e0]	cpd00254[c0]	cpd01608[c0]	cpd00361[c0]	cpd00071[c0]	cpd03125[c0]	cpd03124[c0]	cpd00185[e0]	cpd00185[c0]	cpd15494[e0]	cpd15494[c0]	cpd00794[e0]	cpd00794[c0]	cpd00033[e0]	cpd00054[e0]	cpd11976[e0]	cpd11976[c0]	cpd00133[e0]	cpd01171[c0]	cpd00106[p0]	cpd00153[e0]	cpd00153[c0]	cpd00130[p0]	cpd00380[e0]	cpd00380[c0]	cpd00006[e0]	cpd00003[e0]	cpd17015[c0]	cpd17011[c0]	cpd17014[c0]	cpd17012[c0]	cpd17010[c0]	cpd17029[c0]	cpd17013[c0]	cpd17018[c0]	cpd00138[e0]	cpd00138[c0]	cpd00314[e0]	cpd00314[c0]	cpd18009[c0]	cpd19047[c0]	cpd00353[c0]	cpd02812[c0]	cpd00190[c0]	cpd19006[c0]	cpd19001[c0]	cpd19028[c0]	cpd19036[c0]	cpd00709[c0]	cpd00724[c0]	cpd01487[c0]	cpd01422[c0]	cpd01629[c0]	cpd01698[c0]	cpd19024[c0]	cpd01861[c0]	cpd19008[c0]	cpd00551[c0]	cpd19172[c0]	cpd19171[c0]	cpd02122[c0]	cpd00895[c0]	cpd02679[c0]	cpd23431[c0]	cpd23430[c0]	cpd00393[e0]	cpd00393[c0]	cpd23431[e0]	cpd23430[e0]	cpd00001[e0]	cpd00013[e0]	cpd00011[e0]	cpd00007[e0]	cpd00007[c0]	cpd01981[e0]	cpd01981[c0]	cpd00141[e0]	cpd00141[c0]	cpd01861[e0]	cpd00453[e0]	cpd00071[e0]	cpd00150[c0]	cpd00150[e0]	cpd08021[c0]	cpd08021[e0]	cpd00450[c0]	cpd00450[e0]	cpd00363[c0]	cpd00363[e0]	cpd00055[c0]	cpd00055[e0]	cpd00448[e0]	cpd00025[c0]	cpd00025[e0]	cpd00239[e0]	cpd11640[c0]	cpd11640[e0]	cpd00359[e0]	cpd00659[c0]	cpd00659[e0]	cpd00418[c0]	cpd00418[e0]	cpd00371[c0]	cpd00371[e0]	cpd00811[c0]	cpd00811[e0]	cpd00324[e0]	cpd00324[c0]	cpd01024[e0]	cpd01024[c0]	cpd00204[c0]	cpd00204[e0]	cpd00116[e0]	cpd00116[c0]	cpd00528[e0]	cpd00528[c0]	cpd11632[e0]	cpd11632[c0]	cpd03662[c0]	cpd03662[e0]	cpd00178[c0]	cpd00178[e0]	cpd01618[c0]	cpd01618[e0]	cpd00115[c0]	cpd00357[c0]	cpd00241[c0]	cpd00356[c0]	cpd00062[c0]	cpd00038[c0]	cpd00052[c0]	cpd00066[c0]	cpd00069[c0]	cpd00048[c0]	cpd00063[c0]	cpd00099[c0]	cpd00042[c0]	cpd00017[c0]	cpd00015[c0]	cpd12370[c0]	cpd00118[c0]	cpd00264[c0]	cpd00345[c0]	cpd00016[c0]	cpd00028[c0]	cpd00166[c0]	cpd01997[c0]	cpd03422[c0]	cpd00557[c0]	cpd15540[c0]	cpd15793[c0]	cpd15722[c0]	cpd15794[c0]	cpd15723[c0]	cpd15795[c0]	cpd15533[c0]	cpd15696[c0]	cpd15695[c0]	cpd15432[c0]	cpd02229[c0]	cpd15665[c0]	cpd15666[c0]	cpd11416[c0]	cpd01042[c0]	cpd00196[c0]	cpd00203[c0]	cpd00169[c0]
		met_name	CO2[c0]	ALCTT[c0]	Pyruvate[c0]	H+[c0]	2-Hydroxyethyl-ThPP[c0]	TPP[c0]	NAD[c0]	L-Glutamate[c0]	NADH[c0]	2-Oxoglutarate[c0]	L-Glutamine[c0]	NADPH[c0]	NADP[c0]	H2O[c0]	Phosphate[c0]	ATP[c0]	Ammonium[c0]	Deamido-NAD[c0]	Pyrophosphate[c0]	AMP[c0]	S-Adenosyl-homocysteine[c0]	Homocysteine[c0]	Adenosine[c0]	CoA[c0]	Acetyl-CoA[c0]	L-Malate[c0]	Oxaloacetate[c0]	Isocitrate[c0]	Oxalosuccinate[c0]	Succinyl semialdehyde[c0]	UDP-glucose[c0]	UDPglucuronate[c0]	D-Glucose[c0]	D-Fructose[c0]	Citrate[c0]	FMN[c0]	Riboflavin[c0]	3-Carboxy-1-hydroxypropyl-ThPP[c0]	Succinatesemialdehyde-thiamindiphosphateanion[c0]	2-Phospho-D-glycerate[c0]	Phosphoenolpyruvate[c0]	L-Serine[c0]	indol[c0]	L-Tryptophan[c0]	Succinate[c0]	Sucrose[c0]	Glucose-1-phosphate[c0]	D-glucose-6-phosphate[c0]	6-phospho-D-glucono-1-5-lactone[c0]	UDP[c0]	Trehalose 6-phosphate[c0]	Glycerol[c0]	ADP[c0]	Glycerol-3-phosphate[c0]	H2S[c0]	O-Acetyl-L-serine[c0]	Acetate[c0]	L-Cysteine[c0]	Glycine[c0]	5-10-Methylenetetrahydrofolate[c0]	Tetrahydrofolate[c0]	ADPglucose[c0]	UMP[c0]	Uracil[c0]	PRPP[c0]	2-Oxobutyrate[c0]	D-erythro-3-Methylmalate[c0]	Glycerone-phosphate[c0]	Glycerone[c0]	D-Glyceraldehyde[c0]	ribose-5-phosphate[c0]	Pseudouridine 5'-phosphate[c0]	D-fructose-1,6-bisphosphate[c0]	Glyceraldehyde3-phosphate[c0]	Fumarate[c0]	Butyryl-CoA[c0]	Crotonyl-CoA[c0]	3-Methyl-2-oxobutanoate[c0]	Isobutyryl-CoA[c0]	5-10-Methenyltetrahydrofolate[c0]	cis-Aconitate[c0]	Ornithine[c0]	Carbamoylphosphate[c0]	Citrulline[c0]	Xylitol[c0]	Xylose[c0]	D-Lyxulose[c0]	6-Phospho-D-gluconate[c0]	D-Ribulose5-phosphate[c0]	Adenine[c0]	Ribose 1-phosphate[c0]	4MOP[c0]	Isovaleryl-CoA[c0]	10-Formyltetrahydrofolate[c0]	Dihydrolipoamide[c0]	Lipoamide[c0]	S-Succinyldihydrolipoamide[c0]	5-O--1-Carboxyvinyl-3-phosphoshikimate[c0]	Chorismate[c0]	L-Arabinol[c0]	L-Arabinose[c0]	Sorbitol[c0]	D-Erythrose4-phosphate[c0]	DAHP[c0]	Sedoheptulose 1,7-bisphosphate[c0]	Propionyl-CoA[c0]	H2CO3[c0]	D-methylmalonyl-CoA[c0]	Inosine[c0]	HYXN[c0]	2-Oxoadipate[c0]	Glutaryl-CoA[c0]	S-Glutaryldihydrolipoamide[c0]	Deoxyguanosine[c0]	Guanine[c0]	deoxyribose-1-phosphate[c0]	Thiamin[c0]	Thiamine phosphate[c0]	Guanosine[c0]	L-Lactaldehyde[c0]	2-Oxopropanal[c0]	N-Ribosylnicotinamide[c0]	Nicotinamide[c0]	Nicotinate D-ribonucleoside[c0]	Niacin[c0]	Xanthosine[c0]	Xanthine[c0]	Nebularine[c0]	Purine[c0]	5-Oxopentanoate[c0]	Glutarate[c0]	Hexadecanal[c0]	2-trans-Hexadecenal[c0]	Deoxyuridine[c0]	D-Lactaldehyde[c0]	Lactaldehyde[c0]	Deoxyadenosine[c0]	D-fructose-1-phosphate[c0]	Succinyl-CoA[c0]	1,2-Propanediol[c0]	beta-D-Glucose 6-phosphate[c0]	Deoxyinosine[c0]	4-Nitrophenyl phosphate[c0]	PNP[c0]	Thiosulfate[c0]	S-sulfocysteine[c0]	3MOP[c0]	2-Methylbutyryl-CoA[c0]	L-histidinol-phosphate[c0]	imidazole acetol-phosphate[c0]	Selenide[c0]	Selenocysteine[c0]	3-Phospho-D-erythronate[c0]	Phosphoenol-4-deoxy-3-tetrulosonate[c0]	Methylisocitrate[c0]	cis-2-Methylaconitate[c0]	3-Isopropylmalate[c0]	2-isopropyl-3-oxosuccinate[c0]	2-Aceto-2-hydroxybutanoate[c0]	Se-Adenosylselenohomocysteine[c0]	Selenohomocysteine[c0]	2-(beta-D-Glucosyl)-sn-glycerol 3-phosphate[c0]	2-Dehydro-D-gluconate[c0]	2,5-diketo-D-gluconate[c0]	Isochorismate[c0]	SHCHC[c0]	Phosphate[e0]	L-Glutamate[e0]	D-Glucose[e0]	Mn2+[e0]	Mn2+[c0]	Zn2+[e0]	Zn2+[c0]	L-Lysine[e0]	L-Lysine[c0]	L-Aspartate[e0]	L-Aspartate[c0]	L-Arginine[e0]	L-Arginine[c0]	L-Glutamine[e0]	Ornithine[e0]	Urea[e0]	Urea[c0]	Choline[e0]	Choline[c0]	D-Ribose[e0]	D-Ribose[c0]	L-Leucine[e0]	L-Leucine[c0]	Galactose[e0]	Galactose[c0]	L-Histidine[e0]	L-Histidine[c0]	L-Proline[e0]	L-Proline[c0]	Cobalt[e0]	Cobalt[c0]	Xylose[e0]	L-Valine[e0]	L-Valine[c0]	L-Threonine[e0]	L-Threonine[c0]	Maltose[e0]	Maltose[c0]	Nitrate[e0]	Nitrate[c0]	Taurine[e0]	Taurine[c0]	L-Arabinose[e0]	Nickel[e0]	Nickel[c0]	Thiamin[e0]	L-Isoleucine[e0]	L-Isoleucine[c0]	Betaine[e0]	Betaine[c0]	Fe3+[e0]	Fe3+[c0]	L-Malate[e0]	Sodium[e0]	Sodium[c0]	L-Methionine[e0]	L-Methionine[c0]	Biotin[e0]	Biotin[c0]	Riboflavin[e0]	L-Cysteine[e0]	carboxybiotin[c0]	Malonyl-CoA[c0]	Butyryl-ACP[c0]	But-2-enoyl-[acyl-carrier protein][c0]	Myristoyl-ACP[c0]	(2E)-Tetradecenoyl-[acp][c0]	Dodecanoyl-ACP[c0]	(2E)-Dodecenoyl-[acp][c0]	Octanoyl-ACP[c0]	(2E)-Octenoyl-[acp][c0]	Hexanoyl-ACP[c0]	(2E)-Hexenoyl-[acp][c0]	Decanoyl-ACP[c0]	(2E)-Decenoyl-[acp][c0]	hexadecanoyl-acp[c0]	(2E)-Hexadecenoyl-[acp][c0]	R-3-hydroxypalmitoyl-acyl-carrierprotein-[c0]	3-oxohexadecanoyl-acp[c0]	D-3-Hydroxyhexanoyl-[acp][c0]	3-Oxohexanoyl-[acp][c0]	(R)-3-Hydroxydecanoyl-[acyl-carrier protein][c0]	3-oxodecanoyl-acp[c0]	(R)-3-Hydroxybutanoyl-[acyl-carrier protein][c0]	Acetoacetyl-ACP[c0]	D-3-Hydroxydodecanoyl-[acp][c0]	3-oxododecanoyl-acp[c0]	(R)-3-Hydroxyoctanoyl-[acyl-carrier protein][c0]	3-oxooctanoyl-acp[c0]	(R)-3-Hydroxytetradecanoyl-[acyl-carrier-protein][c0]	3-oxotetradecanoyl-acp[c0]	Malonyl-acyl-carrierprotein-[c0]	ACP[c0]	Acetyl-ACP[c0]	Acetate[e0]	H+[e0]	Cu2+[c0]	Cu2+[e0]	Fe2+[e0]	Fe2+[c0]	D-Fructose[e0]	Fumarate[e0]	L-Inositol[e0]	L-Inositol[c0]	K+[e0]	K+[c0]	Lactose[e0]	Lactose[c0]	Molybdate[e0]	Molybdate[c0]	Nitrite[e0]	Nitrite[c0]	Succinate[e0]	L-Fucose[e0]	L-Fucose[c0]	trdrd[c0]	Sulfite[c0]	trdox[c0]	Acyl-[acyl-carrier protein][c0]	trans-2,3-Dehydroacyl-[acyl-carrier protein][c0]	Alditol[c0]	Aldose[c0]	tRNA(Cys)[c0]	L-Cysteinyl-tRNA(Cys)[c0]	tRNA(Gln)[c0]	Gln-tRNA(Gln)[c0]	tRNA(Thr)[c0]	L-Threonyl-tRNA(Thr)[c0]	tRNA(Trp)[c0]	L-Tryptophanyl-tRNA(Trp)[c0]	Base Q[c0]	tRNA guanine[c0]	tRNA queuine[c0]	Dihydrolipolprotein[c0]	Lipoylprotein[c0]	Carboxybiotin-carboxyl-carrier protein[c0]	Holo-[carboxylase][c0]	LL-2,6-Diaminopimelate[c0]	tetrahydrodipicolinate[c0]	(2E)-Octadecenoyl-[acp][c0]	Stearoyl-[acyl-carrier protein][c0]	3-oxo-cis-dodec-5-enoyl-[acyl-carrier protein][c0]	(R)-3-hydroxy-cis-dodec-5-enoyl-[acyl-carrier protein][c0]	3-oxo-cis-myristol-7-eoyl-[acyl-carrier protein][c0]	(R)-3-hydroxy-cis-myristol-7-eoyl-[acyl-carrier protein][c0]	3-oxo-cis-palm-9-eoyl-[acyl-carrier protein][c0]	(R)-3-hydroxy-cis-palm-9-eoyl-[acyl-carrier protein][c0]	3-Oxooctadecanoyl-[acyl-carrier protein][c0]	R-3-Hydroxyoctadecanoyl-acyl-carrierprotein-[c0]	3-oxo-cis-vacc-11-enoyl-[acyl-carrier protein][c0]	(R)-3-hydroxy-cis-vacc-11-enoyl-[acyl-carrier protein][c0]	cis-dec-3-enoyl-[acyl-carrier protein][c0]	cis-dodec-5-enoyl-[acyl-carrier protein][c0]	Tetradecenoyl-ACP[c0]	Palmitoyl-ACP[c0]	Hexadecenoyl-ACP[c0]	L-Alanine[e0]	L-Alanine[c0]	L-Asparagine[e0]	L-Asparagine[c0]	Cyanate[e0]	Cyanate[c0]	2-Dehydro-L-gulonate[c0]	trans-3-cis-5-dodecenoyl-[acyl-carrier protein][c0]	trans-3-cis-7-myristoleoyl-[acyl-carrier protein][c0]	trans-3-cis-9-palmitoleoyl-[acyl-carrier protein][c0]	trans-3-cis-11-vacceoyl-[acyl-carrier protein][c0]	Octadecenoyl-ACP[c0]	D-fructose-6-phosphate[c0]	tRNA(Lys)[c0]	L-Lysine-tRNA (Lys)[c0]	Maltotetraose[e0]	Maltotetraose[c0]	Mg[e0]	Mg[c0]	L-Selenocysteine[c0]	(R)-acetoin[c0]	Acetaldehyde[c0]	(2E)-Hexenoyl-CoA[c0]	Hexanoyl-CoA[c0]	D-Arabinose[e0]	D-Arabinose[c0]	Maltoheptaose[e0]	Maltoheptaose[c0]	Trehalose[e0]	Trehalose[c0]	Glycine[e0]	L-Serine[e0]	Maltodextrin[e0]	Maltodextrin[c0]	Nicotinamide[e0]	Dulcose[c0]	Fumarate[p0]	Benzoate[e0]	Benzoate[c0]	L-Malate[p0]	Itaconate[e0]	Itaconate[c0]	NADP[e0]	NAD[e0]	Iso-C6:0 ACP[c0]	Iso-C14:0 ACP[c0]	Iso-C7:0 ACP[c0]	iso-C15:0 ACP[c0]	Fatty Acid (n-C5:0 ACP)[c0]	pentadecanoyl-ACP (n-C15:0ACP)[c0]	Iso-C16:0 ACP[c0]	heptadecanoyl-ACP (n-C17:0ACP)[c0]	D-Mannose[e0]	D-Mannose[c0]	D-Mannitol[e0]	D-Mannitol[c0]	Ethylmalonyl-CoA[c0]	(S)-2-Acetolactate[c0]	D-threo-Isocitric acid[c0]	D-erythro-Isocitric acid[c0]	beta-D-Glucose[c0]	alpha-D-Glucose 6-phosphate[c0]	alpha-D-Glucose[c0]	alpha-D-Ribose 5-phosphate[c0]	beta-D-Fructose 1,6-bisphosphate[c0]	beta D-Galactose[c0]	alpha-D-Galactose[c0]	alpha-D-Xylose[c0]	beta-D-Xylose[c0]	beta-L-Arabinose[c0]	alpha-L-Arabinose[c0]	(S)-Propane-1,2-diol[c0]	(R)-1,2-Propanediol[c0]	(R)-Acetoin[c0]	DTYL[c0]	Enzyme N6-(dihydrolipoyl)lysine[c0]	Enzyme N6-(lipoyl)lysine[c0]	2-Dehydro-D-galactonate[c0]	H4MPT[c0]	5,10-Methylenetetrahydromethanopterin[c0]	3-dehydrocholate[c0]	isocholate[c0]	Folate[e0]	Folate[c0]	3-dehydrocholate[e0]	isocholate[e0]	H2O[e0]	Ammonium[e0]	CO2[e0]	O2[e0]	O2[c0]	5-Methylthio-D-ribose[e0]	5-Methylthio-D-ribose[c0]	Propionate[e0]	Propionate[c0]	(R)-1,2-Propanediol[e0]	1,2-Propanediol[e0]	Acetaldehyde[e0]	Hydrogen cyanide[c0]	Hydrogen cyanide[e0]	Dimethyl sulfoxide[c0]	Dimethyl sulfoxide[e0]	Methyl sulfide[c0]	Methyl sulfide[e0]	Ethanol[c0]	Ethanol[e0]	Formaldehyde[c0]	Formaldehyde[e0]	D-Glyceraldehyde[e0]	Hydrogen peroxide[c0]	Hydrogen peroxide[e0]	H2S[e0]	Hydrogen[c0]	Hydrogen[e0]	indol[e0]	Nitrous oxide[c0]	Nitrous oxide[e0]	Nitric oxide[c0]	Nitric oxide[e0]	Propanal[c0]	Propanal[e0]	Trimethylamine N-oxide[c0]	Trimethylamine N-oxide[e0]	MTTL[e0]	MTTL[c0]	Methane[e0]	Methane[c0]	Carbon monoxide[c0]	Carbon monoxide[e0]	Methanol[e0]	Methanol[c0]	N2[e0]	N2[c0]	Photon[e0]	Photon[c0]	n-Butanol[c0]	n-Butanol[e0]	Acetone[c0]	Acetone[e0]	1,3-Propanediol[c0]	1,3-Propanediol[e0]	dATP[c0]	TTP[c0]	dGTP[c0]	dCTP[c0]	UTP[c0]	GTP[c0]	CTP[c0]	L-Phenylalanine[c0]	L-Tyrosine[c0]	Sulfate[c0]	Ca2+[c0]	Cl-[c0]	GSH[c0]	S-Adenosyl-L-methionine[c0]	FAD[c0]	apo-ACP[c0]	Putrescine[c0]	Spermidine[c0]	5-Methyltetrahydrofolate[c0]	Pyridoxal phosphate[c0]	Heme[c0]	Calomide[c0]	Dimethylbenzimidazole[c0]	Cobinamide[c0]	Siroheme[c0]	Phosphatidylglycerol dioctadecanoyl[c0]	Stearoylcardiolipin (B. subtilis)[c0]	Diisoheptadecanoylphosphatidylglycerol[c0]	Isoheptadecanoylcardiolipin (B. subtilis)[c0]	Dianteisoheptadecanoylphosphatidylglycerol[c0]	Anteisoheptadecanoylcardiolipin (B. subtilis)[c0]	phosphatidylethanolamine dioctadecanoyl[c0]	Dianteisoheptadecanoylphosphatidylethanolamine[c0]	Diisoheptadecanoylphosphatidylethanolamine[c0]	core oligosaccharide lipid A[c0]	Bactoprenyl diphosphate[c0]	Peptidoglycan polymer (n subunits)[c0]	Peptidoglycan polymer (n-1 subunits)[c0]	Biomass[c0]	p-Cresol[c0]	Acetylphosphate[c0]	1,3-Bisphospho-D-glycerate[c0]	3-Phosphoglycerate[c0]
rxn00069_c0	L-glutamate:NAD+ oxidoreductase (transaminating)	-2.05826138129829e-15	0	0	0	1	0	0	-1	-2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
