"react_id","react_name","react_rev","react_single","react_de","lowbnd","uppbnd","obj_coef","gprRules","gpr","seed","rxn","name","ec","tc","qseqid","pident","evalue","bitscore","qcovs","stitle","sstart","send","pathway","blast.status","pathway.status","complex","exception","complex.status","gs.origin","annotation","MNX_ID","seedID","keggID","biggID","biocycID","Rid","met_id","met_name","met_Scoef","met_comp","react_id.1","react_name.1","react_rev.1","lowbnd.1","uppbnd.1","sol.fluxes","index"
"rxn00393_c0","D-Glucose-1-phosphate:riboflavin 5'-phosphotransferase",TRUE,NA,NA,-1000,1000,0,NA,NA,"rxn00393",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/seed.reaction:rxn00393;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00393;http://identifiers.org/kegg.reaction:R00550;http://identifiers.org/biocyc:META:RIBOFLAVIN-PHOSPHOTRANSFERASE-RXN;http://identifiers.org/metanetx.reaction:MNXR106579","MNXR106579","rxn00393","R00550",NA,"RIBOFLAVIN-PHOSPHOTRANSFERASE-RXN","rxn00393_Shan","cpd00089[c0],cpd00220[c0],cpd00027[c0],cpd00050[c0]","Glucose-1-phosphate[c0],Riboflavin[c0],D-Glucose[c0],FMN[c0]","-1,-1,1,1","1,1,1,1","rxn00393","D-Glucose-1-phosphate:riboflavin 5'-phosphotransferase",TRUE,-1000,1000,0.0134085837481508,TRUE
"rxn00617_c0","sn-Glycerol-3-phosphate:D-glucose 6-phosphotransferase",TRUE,NA,NA,-1000,1000,0,NA,NA,"rxn00617",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/seed.reaction:rxn00617;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00617;http://identifiers.org/kegg.reaction:R00850;http://identifiers.org/biocyc:META:2.7.1.142-RXN;http://identifiers.org/metanetx.reaction:MNXR106714","MNXR106714","rxn00617","R00850",NA,"2.7.1.142-RXN","rxn00617_Shan","cpd00027[c0],cpd00080[c0],cpd00079[c0],cpd00100[c0]","D-Glucose[c0],Glycerol-3-phosphate[c0],D-glucose-6-phosphate[c0],Glycerol[c0]","-1,-1,1,1","1,1,1,1","rxn00617","sn-Glycerol-3-phosphate:D-glucose 6-phosphotransferase",TRUE,-1000,1000,0.0134085837481508,TRUE
