		sol$fluxes	cpd00239[c0]	cpd00239[e0]
		met_name	H2S[c0]	H2S[e0]
rxn00949_c0	L-homocysteine hydrogen-sulfide-lyase (deaminating; 2-oxobutanoate-forming)	0.00735210402166031	1	0
rxn00952_c0	O-acetyl-L-homoserine:hydrogen sulfide S-(3-amino-3-carboxypropyl)transferase	1000	-1	0
rxn05902_c0	sulphite reductase	1.0097419586829e-27	-1	0
rxn05957_c0	O4-succinyl-L-homoserine:hydrogen sulfide S-(3-amino-3-carboxypropyl)transferase	-999.961551965347	-1	0
rxn14246_c0	L-homocysteine hydrogen-sulfide-lyase	-0.00427958103995635	1	0
rxn08689_c0	h2s transport (periplasm)	-0.0353755116714257	-1	1
EX_cpd00239_e0	Exchange of H2S	-0.0353755116714257	0	-1
